categoria,descricao,estoque,preco,titulo
Art,"""This is a book about making art. Ordinary art. Ordinary art means something like: all art not made by Mozart. After all, art is rarely made by Mozart-like people; essentially—statistically speaking—there aren't any people like that. Geniuses get made once-a-century or so, yet good art gets made all the time, so to equate the making of art with the workings of genius remov ""This is a book about making art. Ordinary art. Ordinary art means something like: all art not made by Mozart. After all, art is rarely made by Mozart-like people; essentially—statistically speaking—there aren't any people like that. Geniuses get made once-a-century or so, yet good art gets made all the time, so to equate the making of art with the workings of genius removes this intimately human activity to a strangely unreachable and unknowable place. For all practical purposes making art can be examined in great detail without ever getting entangled in the very remote problems of genius.""—-from the IntroductionArt & Fear explores the way art gets made, the reasons it often doesn't get made, and the nature of the difficulties that cause so many artists to give up along the way. The book's co-authors, David Bayles and Ted Orland, are themselves both working artists, grappling daily with the problems of making art in the real world. Their insights and observations, drawn from personal experience, provide an incisive view into the world of art as it is expeienced by artmakers themselves.This is not your typical self-help book. This is a book written by artists, for artists -— it's about what it feels like when artists sit down at their easel or keyboard, in their studio or performance space, trying to do the work they need to do. First published in 1994, Art & Fear quickly became an underground classic. Word-of-mouth response alone—now enhanced by internet posting—has placed it among the best-selling books on artmaking and creativity nationally.Art & Fear has attracted a remarkably diverse audience, ranging from beginning to accomplished artists in every medium, and including an exceptional concentration among students and teachers. The original Capra Press edition of Art & Fear sold 80,000 copies.An excerpt:Today, more than it was however many years ago, art is hard because you have to keep after it so consistently. On so many different fronts. For so little external reward. Artists become veteran artists only by making peace not just with themselves, but with a huge range of issues. You have to find your work... ...more",9,£48.63,Art and Fear: Observations on the Perils (and Rewards) of Artmaking
Add a comment,"""Consistently entertaining courtesy of Rabin's humor-laced prose...a witty, boisterous ride!"" -Kirkus Reviews""An action packed story complete with some hilarious scenes can be enjoyed in this amusing and entertaining adventurous adult coming-of-age tale...An exemplary and highly entertaining read for today’s hectic pace of living—highly recommended."" --Chanticleer Reviews2 ""Consistently entertaining courtesy of Rabin's humor-laced prose...a witty, boisterous ride!"" -Kirkus Reviews""An action packed story complete with some hilarious scenes can be enjoyed in this amusing and entertaining adventurous adult coming-of-age tale...An exemplary and highly entertaining read for today’s hectic pace of living—highly recommended."" --Chanticleer Reviews23 DEGREES SOUTH follows two 23 year-old childhood pals, Hart and Simon, on a twisting and unexpected adventure of force-fed self-discovery. The story departs from the tennis courts of Southern California traveling to the back streets of Sao Paulo, through the treacherous jungles of Brazil, then back again. Meet an eclectic collection of characters, including a Capoeira Master, a Jesuit Priest, and a geriatric Nazi, who all weave their way in, out, and around the path of our two heroes. ...more",9,£35.79,23 Degrees South: A Tropical Tale of Changing Whether...
Add a comment,"Essie Brightsday has never heard a rock basilisk scream. She has never worn magical armor, stood up to a queen, or run from dragons. Instead, Essie, her sarcastic cat Tigrabum, (just call him ""Tig""), and her secretive family struggle to survive on their small farm nestled against the forbidding cliffs of the Valley of Fire. But all that is about to change when a rebellion Essie Brightsday has never heard a rock basilisk scream. She has never worn magical armor, stood up to a queen, or run from dragons. Instead, Essie, her sarcastic cat Tigrabum, (just call him ""Tig""), and her secretive family struggle to survive on their small farm nestled against the forbidding cliffs of the Valley of Fire. But all that is about to change when a rebellion against the cruel interim ruler is sparked. Forced to flee for their lives, Essie and Tig lose themselves in the twisting labyrinth of the ancient lava flow. When Essie finds proof that the missing King Mactogonii may be alive, she is given the opportunity to help restore stability to the kingdom. But the course of her journey will force her to face her deepest fears and unravel the mystery behind her own blindness...if Essie can survive the encounter. ...more",9,£50.49,A Hero's Curse (The Unseen Chronicles #1)
Default,"Harold Fry is convinced that he must deliver a letter to an old friend in order to save her, meeting various characters along the way and reminiscing about the events of his past and people he has known, as he tries to find peace and acceptance.Recently retired, sweet, emotionally numb Harold Fry is jolted out of his passivity by a letter from Queenie Hennessy, an old frie Harold Fry is convinced that he must deliver a letter to an old friend in order to save her, meeting various characters along the way and reminiscing about the events of his past and people he has known, as he tries to find peace and acceptance.Recently retired, sweet, emotionally numb Harold Fry is jolted out of his passivity by a letter from Queenie Hennessy, an old friend, who he hasn't heard from in twenty years. She has written to say she is in hospice and wanted to say goodbye. Leaving his tense, bitter wife Maureen to her chores, Harold intends a quick walk to the corner mailbox to post his reply but instead, inspired by a chance encounter, he becomes convinced he must deliver his message in person to Queenie--who is 600 miles away--because as long as he keeps walking, Harold believes that Queenie will not die. So without hiking boots, rain gear, map or cell phone, one of the most endearing characters in current fiction begins his unlikely pilgrimage across the English countryside. Along the way, strangers stir up memories--flashbacks, often painful, from when his marriage was filled with promise and then not, of his inadequacy as a father, and of his shortcomings as a husband. Ironically, his wife Maureen, shocked by her husband's sudden absence, begins to long for his presence. Is it possible for Harold and Maureen to bridge the distance between them? And will Queenie be alive to see Harold arrive at her door? ...more",8,£43.62,The Unlikely Pilgrimage of Harold Fry (Harold Fry #1)
Travel,"With a new foreword by Tim Ferriss •There’s nothing like vagabonding: taking time off from your normal life—from six weeks to four months to two years—to discover and experience the world on your own terms. In this one-of-a-kind handbook, veteran travel writer Rolf Potts explains how anyone armed with an independent spirit can achieve the dream of extended overseas travel. With a new foreword by Tim Ferriss • There’s nothing like vagabonding: taking time off from your normal life—from six weeks to four months to two years—to discover and experience the world on your own terms. In this one-of-a-kind handbook, veteran travel writer Rolf Potts explains how anyone armed with an independent spirit can achieve the dream of extended overseas travel. Now completely revised and updated, Vagabonding is an accessible and inspiring guide to   • financing your travel time • determining your destination • adjusting to life on the road • working and volunteering overseas • handling travel adversity • re-assimilating back into ordinary life  Praise for Vagabonding  “A crucial reference for any budget wanderer.”—Time  “Vagabonding easily remains in my top-10 list of life-changing books. Why? Because one incredible trip, especially a long-term trip, can change your life forever. And Vagabonding teaches you how to travel (and think), not just for one trip, but for the rest of your life.”—Tim Ferriss, from the foreword   “The book is a meditation on the joys of hitting the road. . . . It’s also a primer for those with a case of pent-up wanderlust seeking to live the dream.”—USA Today   “I couldn’t put this book down. It’s a whole different ethic of travel. . . . [Potts’s] practical advice might just convince you to enjoy that open-ended trip of a lifetime.”—Rick Steves   “Potts wants us to wander, to explore, to embrace the unknown, and, finally, to take our own damn time about it. I think this is the most sensible book of travel-related advice ever written.”—Tim Cahill, founding editor of Outside ...more",8,£36.94,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel
Nonfiction,"THE NEW YORK TIMES NUMBER ONE BESTSELLER'Finishing this book and then forgetting about it is simply not an option...Unmissable' New York TimesAt the age of thirty-six, on the verge of completing a decade’s training as a neurosurgeon, Paul Kalanithi was diagnosed with inoperable lung cancer. One day he was a doctor treating the dying, the next he was a patient struggling to THE NEW YORK TIMES NUMBER ONE BESTSELLER'Finishing this book and then forgetting about it is simply not an option...Unmissable' New York TimesAt the age of thirty-six, on the verge of completing a decade’s training as a neurosurgeon, Paul Kalanithi was diagnosed with inoperable lung cancer. One day he was a doctor treating the dying, the next he was a patient struggling to live.When Breath Becomes Air chronicles Kalanithi’s transformation from a medical student asking what makes a virtuous and meaningful life into a neurosurgeon working in the core of human identity – the brain – and finally into a patient and a new father.What makes life worth living in the face of death? What do you do when when life is catastrophically interrupted? What does it mean to have a child as your own life fades away?Paul Kalanithi died while working on this profoundly moving book, yet his words live on as a guide to us all. When Breath Becomes Air is a life-affirming reflection on facing our mortality and on the relationship between doctor and patient, from a gifted writer who became both. ...more",8,£39.36,When Breath Becomes Air
Nonfiction,"If you want to build a better future, you must believe in secrets.The great secret of our time is that there are still uncharted frontiers to explore and new inventions to create. In Zero to One , legendary entrepreneur and investor Peter Thiel shows how we can find singular ways to create those new things. Thiel begins with the contrarian premise that we live in an age o If you want to build a better future, you must believe in secrets.The great secret of our time is that there are still uncharted frontiers to explore and new inventions to create. In Zero to One , legendary entrepreneur and investor Peter Thiel shows how we can find singular ways to create those new things. Thiel begins with the contrarian premise that we live in an age of technological stagnation, even if we’re too distracted by shiny mobile devices to notice. Information technology has improved rapidly, but there is no reason why progress should be limited to computers or Silicon Valley. Progress can be achieved in any industry or area of business. It comes from the most important skill that every leader must master: learning to think for yourself.Doing what someone else already knows how to do takes the world from 1 to n, adding more of something familiar. But when you do something new, you go from 0 to 1. The next Bill Gates will not build an operating system. The next Larry Page or Sergey Brin won’t make a search engine. Tomorrow’s champions will not win by competing ruthlessly in today’s marketplace. They will escape competition altogether, because their businesses will be unique. Zero to One presents at once an optimistic view of the future of progress in America and a new way of thinking about innovation: it starts by learning to ask the questions that lead you to find value in unexpected places. ...more",8,£34.06,"Zero to One: Notes on Startups, or How to Build the Future"
Fiction,"Filled with insights that are hallmarks of Anna Quindlen’s bestsellers, this extraordinary novel is about a woman coming of age, as she unearths secrets about her family and her town, and surprising truths about herself.For generations the Millers have lived in Miller’s Valley. Mimi Miller tells about her life with intimacy and honesty. As Mimi eavesdrops on her parents an Filled with insights that are hallmarks of Anna Quindlen’s bestsellers, this extraordinary novel is about a woman coming of age, as she unearths secrets about her family and her town, and surprising truths about herself.For generations the Millers have lived in Miller’s Valley. Mimi Miller tells about her life with intimacy and honesty. As Mimi eavesdrops on her parents and quietly observes the people around her, she discovers more and more about the toxicity of family secrets, the dangers of gossip, the flaws of marriage, the inequalities of friendship and the risks of passion, loyalty, and love. Home, as Mimi begins to realize, can be “a place where it’s just as easy to feel lost as it is to feel content.” Miller’s Valley is a masterly study of family, memory, loss, and, ultimately, discovery, of finding true identity and a new vision of home. As Mimi says, “No one ever leaves the town where they grew up, even if they go.” Miller’s Valley reminds us that the place where you grew up can disappear, and the people in it too, but all will live on in your heart forever. ...more",8,£58.54,Miller's Valley
Young Adult,"""One thing my mother never knew, and would disapprove of most of all, was that I watched the Garretts. All the time.""The Garretts are everything the Reeds are not. Loud, messy, affectionate. And every day from her rooftop perch, Samantha Reed wishes she was one of them . . . until one summer evening, Jase Garrett climbs up next to her and changes everything.As the two fall ""One thing my mother never knew, and would disapprove of most of all, was that I watched the Garretts. All the time.""The Garretts are everything the Reeds are not. Loud, messy, affectionate. And every day from her rooftop perch, Samantha Reed wishes she was one of them . . . until one summer evening, Jase Garrett climbs up next to her and changes everything.As the two fall fiercely for each other, stumbling through the awkwardness and awesomeness of first love, Jase's family embraces Samantha - even as she keeps him a secret from her own. Then something unthinkable happens, and the bottom drops out of Samantha's world. She's suddenly faced with an impossible decision. Which perfect family will save her? Or is it time she saved herself?A transporting debut about family, friendship, first romance, and how to be true to one person you love without betraying another. ...more",8,£36.39,My Life Next Door (My Life Next Door )
Poetry,"The third full-length collectionby Julien Poirier, Out of Print is a truly bicoastal volume, reflecting the poet's years in New York as well as his return to his Bay Area roots. Consider it a meetinghouse between late New York School and contemporary California surrealism, a series of quips intercepted from America's underground poetry telegraph, or an absurdist mirror hel The third full-length collection by Julien Poirier, Out of Print is a truly bicoastal volume, reflecting the poet's years in New York as well as his return to his Bay Area roots. Consider it a meetinghouse between late New York School and contemporary California surrealism, a series of quips intercepted from America's underground poetry telegraph, or an absurdist mirror held up to consumerist culture.""Welcome Julien Poirier! What a distinct inspired voice. His work is abundant in surprise. His musical,often bonkers play of language is, for me, a source of delight & revelation.""—David Meltzer""Julien Poirier’s poems calibrate the vernacular in a sublime mathematics of commonalities. The effect is that of feelings on the run, enunciated clearly. In a sudden down-draught—'You’re wind, you melt on my tongue'—he’ll take the contemporary love poem into new stretches of believability while knowingly calling to account the failings that, whether perennial or merely topical, hem round ourselves to disastrous effect. For, no mistake, Out of Print means business: a forceful wake-up call, allowing as how for this old world the time for meaningful action may well have run out and we’ve joined the fabled damned, lost but for such eloquence, affection, and mad, mad laughter in Hell’s despite.""—Bill Berkson""Out of Print’s unexpectedly a love poem, its humor sharpening into dissonant pleasure. And what a pleasure! Julien Poirier’s weirdly direct and directly weird poems notice what an event is, whether it’s four square monks in a Coupe de Ville or becoming the Invisible Hand, and render that event into a sensual and searching landscape. You are really there, no where, but there, in poetry as a means to think differently, and maybe, absurdly, hope.""—Karen WeiserJulien Poirier is the co-founder of Ugly Duckling Presse. He has taught poetry in New York City and San Francisco public schools and at San Quentin State Prison. Previous books include Way Too West (2015) and El Golpe Chileño (2010). ...more",8,£53.64,Out of Print: City Lights Spotlight No. 14
Nonfiction,"Tyler and I inch toward the Green Room, in line with blow-dried TV anchors and stuffy columnists. He’s practicing his handshake and hello: “It’s a pleasure to meet you, Mr. President. It’s a pleasure to meet you, Mr. President. It’s a pleasure to meet you, Mr. President.” When the couple in front of us steps forward for their picture, my teenager with sky-blue eyes and a s Tyler and I inch toward the Green Room, in line with blow-dried TV anchors and stuffy columnists. He’s practicing his handshake and hello: “It’s a pleasure to meet you, Mr. President. It’s a pleasure to meet you, Mr. President. It’s a pleasure to meet you, Mr. President.” When the couple in front of us steps forward for their picture, my teenager with sky-blue eyes and a soft heart looks up at me and says, “I hope I don’t let you down, Dad.” What kind of father raises a son to worry about embarrassing his dad? I want to tell Tyler not to worry, that he’d never let me down. That there’s nothing wrong with being different. That I actually am proud of what makes him special. But we are next in line to meet the president of the United States in a room filled with fellow strivers, and all I can think about is the real possibility that Tyler might embarrass himself. Or, God forbid, me.LOVE THAT BOY is a uniquely personal story about the causes and costs of outsized parental expectations. What we want for our children—popularity, normalcy, achievement, genius—and what they truly need—grit, empathy, character—are explored by National Journal’s Ron Fournier, who weaves his extraordinary journey to acceptance around the latest research on childhood development and stories of other loving-but-struggling parents. ...more",8,£25.06,"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations"
Nonfiction,"Psychiatrist Viktor Frankl's memoir has riveted generations of readers with its descriptions of life in Nazi death camps and its lessons for spiritual survival. Between 1942 and 1945, Frankl labored in four different camps, including Auschwitz, while his parents, brother, and pregnant wife perished. Based on his own experience and the experiences of others he treated later Psychiatrist Viktor Frankl's memoir has riveted generations of readers with its descriptions of life in Nazi death camps and its lessons for spiritual survival. Between 1942 and 1945, Frankl labored in four different camps, including Auschwitz, while his parents, brother, and pregnant wife perished. Based on his own experience and the experiences of others he treated later in his practice, Frankl argues that we cannot avoid suffering, but we can choose how to cope with it, find meaning in it, and move forward with renewed purpose. Frankl's theory--known as logotherapy, from the Greek word logos (""meaning"")--holds that our primary drive in life is not pleasure, as Freud maintained, but the discovery and pursuit of what we personally find meaningful.At the time of Frankl's death in 1997, Man's Search for Meaning had sold more than 10 million copies in twenty-four languages. A 1991 reader survey for the Library of Congress that asked readers to name a ""book that made a difference in your life"" found Man's Search for Meaning among the ten most influential books in America. ...more",8,£29.48,Man's Search for Meaning
Music,"A Time Out and Daily News Top Ten Book of the Year upon its initial release, Please Kill Me is the first oral history of the most nihilist of all pop movements. Iggy Pop, Danny Fields, Dee Dee and Joey Ramone, Malcom McLaren, Jim Carroll, and scores of other famous and infamous punk figures lend their voices to this definitive account of that outrageous, explosive era. Fro A Time Out and Daily News Top Ten Book of the Year upon its initial release, Please Kill Me is the first oral history of the most nihilist of all pop movements. Iggy Pop, Danny Fields, Dee Dee and Joey Ramone, Malcom McLaren, Jim Carroll, and scores of other famous and infamous punk figures lend their voices to this definitive account of that outrageous, explosive era. From its origins in the twilight years of Andy Warhol’s New York reign to its last gasps as eighties corporate rock, the phenomenon known as punk is scrutinized, eulogized, and idealized by the people who were there and who made it happen. ...more",8,£31.19,Please Kill Me: The Uncensored Oral History of Punk
Philosophy,"Leading theologian Matthew Levering presents a thoroughgoing critical survey of the proofs of God's existence for readers interested in traditional Christian responses to the problem of atheism. Beginning with Tertullian and ending with Karl Barth, Levering covers twenty-one theologians and philosophers from the early church to the modern period, examining how they answere Leading theologian Matthew Levering presents a thoroughgoing critical survey of the proofs of God's existence for readers interested in traditional Christian responses to the problem of atheism. Beginning with Tertullian and ending with Karl Barth, Levering covers twenty-one theologians and philosophers from the early church to the modern period, examining how they answered the critics of their day. He also shows the relevance of the classical arguments to contemporary debates and challenges to Christianity. In addition to students, this book will appeal to readers of apologetics. ...more",8,£54.21,Proofs of God: Classical Arguments from Tertullian to Barth
Nonfiction,"The physics of vulnerability is simple: If we are brave enough often enough, we will fall. The author of the #1 New York Times bestsellers Daring Greatly and The Gifts of Imperfection tells us what it takes to get back up, and how owning our stories of disappointment, failure, and heartbreak gives us the power to write a daring new ending. Struggle, Brené Brown writes, can The physics of vulnerability is simple: If we are brave enough often enough, we will fall. The author of the #1 New York Times bestsellers Daring Greatly and The Gifts of Imperfection tells us what it takes to get back up, and how owning our stories of disappointment, failure, and heartbreak gives us the power to write a daring new ending. Struggle, Brené Brown writes, can be our greatest call to courage, and rising strong our clearest path to deeper meaning, wisdom, and hope. ...more",8,£21.82,Rising Strong
Default,"A beautifully written glimpse into heaven that will encourage those who doubtand thrill those who believe.Ron Hall, coauthor of Same Kind of Different as MeDo you remember the hospital, Colton? Sonja said. Yes, mommy, I remember, he said. That s where theangels sang to me.When Colton Burpo made it through an emergency appendectomy, his familywas overjoyed at his miraculous A beautifully written glimpse into heaven that will encourage those who doubtand thrill those who believe.Ron Hall, coauthor of Same Kind of Different as MeDo you remember the hospital, Colton? Sonja said. Yes, mommy, I remember, he said. That s where theangels sang to me.When Colton Burpo made it through an emergency appendectomy, his familywas overjoyed at his miraculous survival. What they weren t expecting, though, was the story that emerged in the months that followed a story as beautiful as itwas extraordinary, detailing their little boy s trip to heaven and back.Colton, not yet four years old, told his parents he left his body during thesurgery and authenticated that claim by describing exactly what his parents weredoing in another part of the hospital while he was being operated on. He talked ofvisiting heaven and relayed stories told to him by people he met there whom hehad never met in life, sharing events that happened even before he was born. He also astonished his parents with descriptions and obscure details about heaven thatmatched the Bible exactly, though he had not yet learned to read.With disarming innocence and the plainspoken boldness of a child, Colton tells of meeting long-departed family members. He describes Jesus, the angels, how really, really big God is, and how much God loves us. Retold by his father, but using Colton s uniquely simple words, Heaven Is for Real offers a glimpseof the world that awaits us, where as Colton says, Nobody is old and nobodywears glasses.Heaven Is for Real will forever change the way you think of eternity, offeringthe chance to see, and believe, like a child."" ...more",8,£52.86,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back
Young Adult,"What do you do when the future is too late, and the present is counting down to an inevitable moment?Elena Martinez has street smarts, the ability for perfect recall, and a deadline: if she doesn’t find a job before she turns eighteen, she’ll be homeless. But then she gets an unexpected offer from Aether Corporation, the powerful Los Angeles tech giant. Along with four oth What do you do when the future is too late, and the present is counting down to an inevitable moment?Elena Martinez has street smarts, the ability for perfect recall, and a deadline: if she doesn’t find a job before she turns eighteen, she’ll be homeless. But then she gets an unexpected offer from Aether Corporation, the powerful Los Angeles tech giant. Along with four other recruits—Adam, Chris, Trent, and Zoe—Elena is being sent on a secret mission to bring back data from the future. All they have to do is get Aether the information they need, and the five of them will be set for life. It’s an offer Elena can’t refuse.But something goes wrong when the time travelers arrive in the future. And they are forced to break the only rule they were given—not to look into their own fates. Now they have twenty-four hours to get back to the present and find a way to stop a seemingly inevitable future—and a murder—from happening. But changing the timeline has deadly consequences too. Who can Elena trust as she fights to save her life?The first book in an unforgettable series about rewriting your destiny in the city of dreams. ...more",8,£55.65,Future Shock (Future Shock #1)
Default,"Andrew ""Ender"" Wiggin thinks he is playing computer simulated war games; he is, in fact, engaged in something far more desperate. The result of genetic experimentation, Ender may be the military genius Earth desperately needs in a war against an alien enemy seeking to destroy all human life. The only way to find out is to throw Ender into ever harsher training, to chip awa Andrew ""Ender"" Wiggin thinks he is playing computer simulated war games; he is, in fact, engaged in something far more desperate. The result of genetic experimentation, Ender may be the military genius Earth desperately needs in a war against an alien enemy seeking to destroy all human life. The only way to find out is to throw Ender into ever harsher training, to chip away and find the diamond inside, or destroy him utterly. Ender Wiggin is six years old when it begins. He will grow up fast.But Ender is not the only result of the experiment. The war with the Buggers has been raging for a hundred years, and the quest for the perfect general has been underway almost as long. Ender's two older siblings, Peter and Valentine, are every bit as unusual as he is, but in very different ways. While Peter was too uncontrollably violent, Valentine very nearly lacks the capability for violence altogether. Neither was found suitable for the military's purpose. But they are driven by their jealousy of Ender, and by their inbred drive for power. Peter seeks to control the political process, to become a ruler. Valentine's abilities turn more toward the subtle control of the beliefs of commoner and elite alike, through powerfully convincing essays. Hiding their youth and identities behind the anonymity of the computer networks, these two begin working together to shape the destiny of Earth-an Earth that has no future at all if their brother Ender fails.~from author's web site ...more",8,£43.64,Ender's Game (The Ender Quintet #1)
Nonfiction,"“This is your country, this is your world, this is your body, and you must find some way to live within the all of it.”In a profound work that pivots from the biggest questions about American history and ideals to the most intimate concerns of a father for his son, Ta-Nehisi Coates offers a powerful new framework for understanding our nation’s history and current crisis. A “This is your country, this is your world, this is your body, and you must find some way to live within the all of it.”In a profound work that pivots from the biggest questions about American history and ideals to the most intimate concerns of a father for his son, Ta-Nehisi Coates offers a powerful new framework for understanding our nation’s history and current crisis. Americans have built an empire on the idea of “race,” a falsehood that damages us all but falls most heavily on the bodies of black women and men—bodies exploited through slavery and segregation, and, today, threatened, locked up, and murdered out of all proportion. What is it like to inhabit a black body and find a way to live within it? And how can we all honestly reckon with this fraught history and free ourselves from its burden?  Between the World and Me is Ta-Nehisi Coates’s attempt to answer these questions in a letter to his adolescent son. Coates shares with his son—and readers—the story of his awakening to the truth about his place in the world through a series of revelatory experiences, from Howard University to Civil War battlefields, from the South Side of Chicago to Paris, from his childhood home to the living rooms of mothers whose children’s lives were taken as American plunder. Beautifully woven from personal narrative, reimagined history, and fresh, emotionally charged reportage, Between the World and Me clearly illuminates the past, bracingly confronts our present, and offers a transcendent vision for a way forward. ...more",8,£56.91,Between the World and Me
Nonfiction,"In Being Mortal, bestselling author Atul Gawande tackles the hardest challenge of his profession: how medicine can not only improve life but also the process of its ending.Medicine has triumphed in modern times, transforming birth, injury, and infectious disease from harrowing to manageable. But in the inevitable condition of aging and death, the goals of medicine seem too In Being Mortal, bestselling author Atul Gawande tackles the hardest challenge of his profession: how medicine can not only improve life but also the process of its ending.Medicine has triumphed in modern times, transforming birth, injury, and infectious disease from harrowing to manageable. But in the inevitable condition of aging and death, the goals of medicine seem too frequently to run counter to the interest of the human spirit. Nursing homes, preoccupied with safety, pin patients into railed beds and wheelchairs. Hospitals isolate the dying, checking for vital signs long after the goals of cure have become moot. Doctors, committed to extending life, continue to carry out devastating procedures that in the end extend suffering.Gawande, a practicing surgeon, addresses his profession’s ultimate limitation, arguing that quality of life is the desired goal for patients and families. Gawande offers examples of freer, more socially fulfilling models for assisting the infirm and dependent elderly, and he explores the varieties of hospice care to demonstrate that a person's last weeks or months may be rich and dignified.Full of eye-opening research and riveting storytelling, Being Mortal asserts that medicine can comfort and enhance our experience even to the end, providing not only a good life but also a good end. ...more",8,£55.06,Being Mortal: Medicine and What Matters in the End
Science,"In the exploding world of citizen science, hundreds of thousands of volunteers are monitoring climate change, tracking bird migration, finding stardust for NASA, and excavating mastodons. The sheer number of citizen scientists, combined with new technology, has begun to shape how research is conducted. Non-professionals become acknowledged experts: dentists turn into astro In the exploding world of citizen science, hundreds of thousands of volunteers are monitoring climate change, tracking bird migration, finding stardust for NASA, and excavating mastodons. The sheer number of citizen scientists, combined with new technology, has begun to shape how research is conducted. Non-professionals become acknowledged experts: dentists turn into astronomers and accountants into botanists.Diary of a Citizen Scientist is a timely exploration of this phenomenon, told through the lens of nature writer Sharman Apt Russell’s yearlong study of a little-known species, the Western red-bellied tiger beetle. In a voice both humorous and lyrical, Russell recounts her persistent and joyful tracking of an insect she calls “charismatic,” “elegant,” and “fierce.” Patrolling the Gila River in southwestern New Mexico, collector’s net in hand, she negotiates the realities of climate change even as she celebrates the beauty of a still-wild and rural landscape.Russell’s self-awareness—of her occasionally-misplaced confidence, her quest to fill in “that blank spot on the map of tiger beetles,” and her desire to become newly engaged in her life—creates a portrait not only of the tiger beetle she tracks, but of the mindset behind self-driven scientific inquiry. Falling in love with the diversity of citizen science, she participates in crowdsourcing programs that range from cataloguing galaxies to monitoring the phenology of native plants, applauds the growing role of citizen science in environmental activism, and marvels at the profusion of projects around the world.Diary of a Citizen Scientist offers its readers a glimpse into the transformative properties of citizen science—and documents the transformation of the field as a whole. ...more",8,£28.41,Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World
Default,"The hilariously intrepid young author of War Reporting for Cowards returns from Iraq only to dive head-first into another absurd, terrifying world: the American leisure class. Like Hunter Thompson crossed with one of David Brooks’s bobos in paradise, Ayres embeds himself in LA’s “liesuretocracy”: an over-the-top world of caviar facials, billionaire charity balls, souped-up The hilariously intrepid young author of War Reporting for Cowards returns from Iraq only to dive head-first into another absurd, terrifying world: the American leisure class. Like Hunter Thompson crossed with one of David Brooks’s bobos in paradise, Ayres embeds himself in LA’s “liesuretocracy”: an over-the-top world of caviar facials, billionaire charity balls, souped-up SUVs, and monster home loans . . . not to mention $1,000-a-night brothels and million-dollar poker tournaments. Ayres’s highly leveraged lifestyle lands him a surreal night with a supermodel, a date at Michael Jackson’s birthday party in Neverland Ranch (Ayres bribes the organizers five grand to get in), and a wife courtesy of Craigslist. But disaster is never far away. In the book’s brutal final section, Ayres is forced to confront the excesses of his generation at a scene of apocalyptic destruction: the Katrina-ravaged South. Told with a blend of offbeat irreverence, genuine pathos, and incisive social commentary, Death by Leisure is a savage and darkly humorous odyssey that taps directly into the contemporary psyche. ...more",8,£37.51,Death by Leisure: A Cautionary Tale
Biography,"“If everyone in the United States had the same qualities of loyalty and care and concern for others that Larry Taunton had, we'd be living in a much better society than we do.” ~ Christopher HitchensAt the time of his death, Christopher Hitchens was the most notorious atheist in the world. And yet, all was not as it seemed. “Nobody is not a divided self, of course,” heonce “If everyone in the United States had the same qualities of loyalty and care and concern for others that Larry Taunton had, we'd be living in a much better society than we do.” ~ Christopher HitchensAt the time of his death, Christopher Hitchens was the most notorious atheist in the world.  And yet, all was not as it seemed.  “Nobody is not a divided self, of course,” he once told an interviewer, “but I think it’s rather strong in my case.”   Hitchens was a man of many contradictions:   a Marxist in youth who longed for acceptance among the social elites; a peacenik who revered the military; a champion of the Left who was nonetheless pro-life, pro-war-on-terror, and after 9/11 something of a neocon; and while he railed against God on stage, he maintained meaningful—though largely hidden from public view—friendships with evangelical Christians like Francis Collins, Douglas Wilson, and the author Larry Alex Taunton.  In The Faith of Christopher Hitchens, Taunton offers a very personal perspective of one of our most interesting and most misunderstood public figures.  Writing with genuine compassion and without compromise, Taunton traces Hitchens’s spiritual and intellectual development from his decision as a teenager to reject belief in God to his rise to prominence as one of the so-called “Four Horsemen” of the New Atheism.  While Hitchens was, in the minds of many Christians, Public Enemy Number One, away from the lights and the cameras a warm friendship flourished between Hitchens and the author; a friendship that culminated in not one, but two lengthy road trips where, after Hitchens’s diagnosis of esophageal cancer, they studied the Bible together.  The Faith of Christopher Hitchens gives us a candid glimpse into the inner life of this intriguing, sometimes maddening, and unexpectedly vulnerable man.“This book should be read by every atheist and theist passionate about the truth.”--Michael Shermer, publisher, Skeptic magazine ...more",7,£39.55,The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist
Art,"This text is the 16th revised and updated edition of this introduction to art, from the earliest cave paintings to experimental art. Eight new artists from the modern period have been introduced. They are: Corot, Kollwitz, Nolde, de Chirico, Brancussi, Magritte, Nicolson and Morandi. A sequence of new endings have been added, and the captions are now fuller, including the This text is the 16th revised and updated edition of this introduction to art, from the earliest cave paintings to experimental art. Eight new artists from the modern period have been introduced. They are: Corot, Kollwitz, Nolde, de Chirico, Brancussi, Magritte, Nicolson and Morandi. A sequence of new endings have been added, and the captions are now fuller, including the medium and dimension of the works illustrated. Six fold-outs present selected large-scale works. They are: Van Eyck's Ghent Altarpiece, Leonardo's Last Supper, Botticelli's Birth of Venus, Jackson Pollock's One (Number 31, 1950), Van der Weyden's Descent from the Cross and Michelangelo's Sistine Chapel ceiling. ...more",7,£41.14,The Story of Art
